,model,n_components,layer_1,layer_2,layer_3,layer_4,layer_5,layer_6,layer_7,layer_8,layer_9,layer_10,layer_11,layer_12,layer_13,layer_14,layer_15,layer_16,layer_17,layer_18,layer_19,layer_20,layer_21,layer_22,layer_23,layer_24
0,ViTl16,3,"53.2%
(3, 2, 2)
(3, 2, 2)","19.7%
(2, 1, 6)
(2, 1, 6)","19.2%
(2, 4, 1)
(2, 4, 1)","18.8%
(2, 2, 12)
(2, 2, 12)","18.3%
(2, 5, 5)
(2, 5, 5)","18.1%
(2, 1, 1)
(2, 1, 1)","18.0%
(2, 1, 4)
(2, 1, 4)","17.9%
(2, 11, 3)
(2, 11, 3)","17.6%
(2, 1, 6)
(2, 1, 6)","17.5%
(2, 1, 1)
(2, 1, 1)","17.2%
(2, 4, 1)
(2, 4, 1)","45.0%
(2, 1, 1)
(2, 1, 1)","17.0%
(2, 2, 1)
(2, 2, 1)","17.0%
(2, 1, 4)
(2, 1, 4)","17.1%
(2, 2, 1)
(2, 2, 1)","17.2%
(2, 1, 4)
(2, 1, 4)","17.2%
(2, 1, 4)
(2, 1, 4)","38.3%
(2, 1, 5)
(2, 1, 5)","33.4%
(2, 3, 1)
(2, 3, 1)","29.2%
(2, 1, 5)
(2, 1, 5)","26.3%
(2, 3, 1)
(2, 3, 1)","23.4%
(3, 2, 1)
(3, 2, 1)","22.1%
(2, 2, 24)
(2, 2, 24)","20.8%
(2, 7, 7)
(2, 7, 7)"
1,ViTl16,4,"58.7%
(3, 1, 6, 1)
(3, 1, 6, 1)","22.8%
(3, 1, 4, 2)
(3, 1, 4, 2)","22.2%
(3, 17, 1, 2)
(3, 17, 1, 2)","21.9%
(6, 1, 1, 5)
(6, 1, 1, 5)","21.3%
(2, 5, 1, 3)
(2, 5, 1, 3)","21.1%
(6, 2, 2, 5)
(6, 2, 2, 5)","21.0%
(3, 16, 3, 2)
(3, 16, 3, 2)","20.9%
(4, 2, 18, 2)
(4, 2, 18, 2)","20.6%
(5, 3, 4, 3)
(5, 3, 4, 3)","20.5%
(2, 2, 2, 1)
(2, 2, 2, 1)","20.1%
(4, 1, 78, 3)
(4, 1, 78, 3)","49.8%
(3, 5, 1, 2)
(3, 5, 1, 2)","20.1%
(2, 1, 6, 1)
(2, 1, 6, 1)","20.0%
(2, 1, 3, 1)
(2, 1, 3, 1)","20.0%
(3, 4, 1, 1)
(3, 4, 1, 1)","20.1%
(2, 2, 5, 1)
(2, 2, 5, 1)","20.1%
(2, 2, 5, 1)
(2, 2, 5, 1)","42.6%
(3, 8, 3, 3)
(3, 8, 3, 3)","37.8%
(3, 1, 1, 4)
(3, 1, 1, 4)","33.7%
(3, 1, 1, 2)
(3, 1, 1, 2)","30.6%
(2, 8, 9, 2)
(2, 8, 9, 2)","27.3%
(2, 1, 1, 1)
(2, 1, 1, 1)","25.8%
(2, 3, 1, 1)
(2, 3, 1, 1)","24.2%
(3, 6, 4, 1)
(3, 6, 4, 1)"
2,ViTl16,5,"62.9%
(2, 2, 6, 1, 0)
(2, 2, 6, 1, 0)","25.6%
(3, 3, 3, 1, 0)
(3, 3, 3, 1, 0)","25.0%
(3, 2, 1, 5, 0)
(3, 2, 1, 5, 0)","24.7%
(2, 1, 1, 2, 0)
(2, 1, 1, 2, 0)","24.2%
(3, 1, 4, 4, 0)
(3, 1, 4, 4, 0)","23.9%
(4, 1, 1, 5, 0)
(4, 1, 1, 5, 0)","23.8%
(5, 1, 5, 2, 0)
(5, 1, 5, 2, 0)","23.7%
(2, 1, 4, 1, 0)
(2, 1, 4, 1, 0)","23.4%
(3, 1, 2, 3, 0)
(3, 1, 2, 3, 0)","23.2%
(8, 1, 1, 2, 0)
(8, 1, 1, 2, 0)","22.9%
(6, 1, 3, 2, 0)
(6, 1, 3, 2, 0)","54.0%
(3, 3, 1, 1, 0)
(3, 3, 1, 1, 0)","22.8%
(2, 7, 11, 8, 0)
(2, 7, 11, 8, 0)","22.7%
(4, 1, 1, 1, 1)
(4, 1, 1, 1, 1)","22.7%
(2, 1, 3, 4, 0)
(2, 1, 3, 4, 0)","22.9%
(2, 1, 1, 10, 1)
(2, 1, 1, 10, 1)","22.9%
(2, 1, 1, 10, 1)
(2, 1, 1, 10, 1)","46.5%
(3, 2, 8, 1, 1)
(3, 2, 8, 1, 1)","41.4%
(3, 2, 2, 2, 0)
(3, 2, 2, 2, 0)","37.4%
(3, 6, 1, 1, 0)
(3, 6, 1, 1, 0)","34.4%
(2, 6, 1, 1, 0)
(2, 6, 1, 1, 0)","30.7%
(2, 1, 6, 6, 0)
(2, 1, 6, 6, 0)","29.0%
(2, 5, 10, 4, 0)
(2, 5, 10, 4, 0)","27.2%
(10, 1, 1, 1, 1)
(10, 1, 1, 1, 1)"
3,ViTb32,3,"27.7%
(2, 0, 0)
(2, 0, 0)","18.9%
(2, 8, 1)
(2, 8, 1)","20.0%
(2, 4, 0)
(2, 4, 0)","21.6%
(2, 5, 1)
(2, 5, 1)","27.8%
(2, 0, 0)
(2, 0, 0)","23.3%
(2, 1, 0)
(2, 1, 0)","24.8%
(2, 1, 0)
(2, 1, 0)","23.2%
(1, 4, 0)
(1, 4, 0)","22.9%
(2, 3, 0)
(2, 3, 0)","21.0%
(2, 4, 0)
(2, 4, 0)","20.1%
(2, 1, 1)
(2, 1, 1)","19.7%
(3, 3, 1)
(3, 3, 1)",,,,,,,,,,,,
4,ViTb32,4,"32.0%
(2, 0, 0, 0)
(2, 0, 0, 0)","21.9%
(2, 5, 7, 0)
(2, 5, 7, 0)","23.0%
(2, 2, 1, 1)
(2, 2, 1, 1)","24.3%
(2, 11, 3, 0)
(2, 11, 3, 0)","32.2%
(1, 2, 0, 0)
(1, 2, 0, 0)","26.9%
(2, 2, 0, 0)
(2, 2, 0, 0)","29.0%
(3, 6, 0, 0)
(3, 6, 0, 0)","27.5%
(2, 1, 1, 0)
(2, 1, 1, 0)","27.3%
(2, 3, 2, 0)
(2, 3, 2, 0)","24.7%
(2, 4, 1, 0)
(2, 4, 1, 0)","23.5%
(2, 1, 3, 0)
(2, 1, 3, 0)","22.7%
(2, 1, 5, 0)
(2, 1, 5, 0)",,,,,,,,,,,,
5,ViTb32,5,"36.0%
(2, 0, 0, 0, 0)
(2, 0, 0, 0, 0)","24.5%
(3, 1, 2, 0, 0)
(3, 1, 2, 0, 0)","25.7%
(4, 1, 1, 0, 0)
(4, 1, 1, 0, 0)","26.9%
(5, 3, 1, 0, 0)
(5, 3, 1, 0, 0)","35.5%
(3, 3, 0, 0, 0)
(3, 3, 0, 0, 0)","30.0%
(3, 4, 1, 0, 0)
(3, 4, 1, 0, 0)","32.8%
(2, 5, 1, 0, 0)
(2, 5, 1, 0, 0)","30.5%
(3, 1, 1, 0, 0)
(3, 1, 1, 0, 0)","30.6%
(2, 1, 4, 0, 0)
(2, 1, 4, 0, 0)","27.6%
(2, 2, 2, 0, 0)
(2, 2, 2, 0, 0)","25.9%
(2, 6, 1, 0, 0)
(2, 6, 1, 0, 0)","25.4%
(2, 2, 1, 0, 0)
(2, 2, 1, 0, 0)",,,,,,,,,,,,
6,ResNet34,3,"35.4%
(2, 45, 7)
(2, 45, 7)","33.2%
(4, 8, 1)
(4, 8, 1)","17.2%
(2, 1, 0)
(2, 1, 0)","17.2%
(2, 8, 0)
(2, 8, 0)","16.9%
(3, 1, 0)
(3, 1, 0)","16.6%
(2, 1, 3)
(2, 1, 3)","18.1%
(2, 3, 1)
(2, 3, 1)","15.5%
(3, 1, 2)
(3, 1, 2)","16.8%
(2, 4, 4)
(2, 4, 4)","30.8%
(5, 1, 3)
(5, 1, 3)","30.7%
(13, 1, 1)
(13, 1, 1)","25.4%
(3, 1, 11)
(3, 1, 11)","21.1%
(2, 2, 1)
(2, 2, 1)","20.0%
(2, 1, 1)
(2, 1, 1)","19.6%
(5, 3, 4)
(5, 3, 4)","16.0%
(2, 9, 3)
(2, 9, 3)","15.7%
(2, 1, 1)
(2, 1, 1)",,,,,,,
7,ResNet34,4,"40.8%
(4, 1, 3, 2)
(4, 1, 3, 2)","38.2%
(2, 1, 1, 1)
(2, 1, 1, 1)","19.4%
(2, 1, 4, 0)
(2, 1, 4, 0)","19.4%
(3, 1, 1, 0)
(3, 1, 1, 0)","19.2%
(2, 1, 2, 0)
(2, 1, 2, 0)","19.1%
(8, 5, 1, 0)
(8, 5, 1, 0)","21.0%
(2, 15, 6, 0)
(2, 15, 6, 0)","18.5%
(3, 1, 3, 0)
(3, 1, 3, 0)","20.2%
(2, 1, 1, 0)
(2, 1, 1, 0)","35.5%
(2, 1, 2, 1)
(2, 1, 2, 1)","34.7%
(2, 1, 4, 0)
(2, 1, 4, 0)","28.6%
(5, 8, 10, 1)
(5, 8, 10, 1)","24.1%
(13, 1, 1, 1)
(13, 1, 1, 1)","22.8%
(2, 3, 2, 0)
(2, 3, 2, 0)","22.1%
(2, 1, 1, 1)
(2, 1, 1, 1)","18.7%
(4, 103, 1, 0)
(4, 103, 1, 0)","18.0%
(2, 1, 1, 0)
(2, 1, 1, 0)",,,,,,,
8,ResNet34,5,"44.0%
(2, 1, 2, 7, 0)
(2, 1, 2, 7, 0)","41.5%
(2, 1, 2, 2, 0)
(2, 1, 2, 2, 0)","21.0%
(4, 1, 7, 0, 0)
(4, 1, 7, 0, 0)","21.2%
(4, 2, 2, 0, 0)
(4, 2, 2, 0, 0)","21.0%
(2, 2, 3, 0, 0)
(2, 2, 3, 0, 0)","21.2%
(2, 1, 1, 0, 0)
(2, 1, 1, 0, 0)","23.4%
(2, 1, 3, 1, 0)
(2, 1, 3, 1, 0)","21.0%
(2, 2, 1, 0, 0)
(2, 2, 1, 0, 0)","23.2%
(2, 2, 2, 0, 0)
(2, 2, 2, 0, 0)","38.6%
(4, 1, 1, 8, 0)
(4, 1, 1, 8, 0)","37.7%
(3, 2, 1, 1, 0)
(3, 2, 1, 1, 0)","31.0%
(2, 1, 1, 2, 0)
(2, 1, 1, 2, 0)","26.8%
(4, 2, 1, 1, 0)
(4, 2, 1, 1, 0)","25.2%
(2, 4, 3, 5, 0)
(2, 4, 3, 5, 0)","24.4%
(2, 1, 7, 2, 0)
(2, 1, 7, 2, 0)","21.0%
(3, 2, 3, 0, 0)
(3, 2, 3, 0, 0)","19.7%
(8, 2, 1, 0, 0)
(8, 2, 1, 0, 0)",,,,,,,
